,HCHO Value,Location,Date,Next Date
3739,0.0001173990094827,Jaffna Proper,2019-03-30,2019-03-31
3740,0.0001473601799526,Jaffna Proper,2019-03-31,2019-04-01
3741,0.0002852584269921,Jaffna Proper,2019-04-01,2019-04-02
3742,0.0001675304375654,Jaffna Proper,2019-04-02,2019-04-03
3743,0.0001195197556313,Jaffna Proper,2019-04-03,2019-04-04
3744,9.381743861666426e-05,Jaffna Proper,2019-04-04,2019-04-05
3745,0.000164986976009,Jaffna Proper,2019-04-05,2019-04-06
3746,6.570327647421359e-05,Jaffna Proper,2019-04-06,2019-04-07
3747,7.763430217102585e-05,Jaffna Proper,2019-04-07,2019-04-08
3748,0.0001144722790134,Jaffna Proper,2019-04-08,2019-04-09
3749,0.0001200443096818,Jaffna Proper,2019-04-09,2019-04-10
3750,0.0001258257230518,Jaffna Proper,2019-04-10,2019-04-11
3751,0.0001139869859016,Jaffna Proper,2019-04-11,2019-04-12
3752,4.419480080409889e-05,Jaffna Proper,2019-04-12,2019-04-13
3753,0.0002340769951976,Jaffna Proper,2019-04-13,2019-04-14
3754,,Jaffna Proper,2019-04-14,2019-04-15
3755,,Jaffna Proper,2019-04-15,2019-04-16
3756,,Jaffna Proper,2019-04-16,2019-04-17
3757,,Jaffna Proper,2019-04-17,2019-04-18
3758,0.0001535071864358,Jaffna Proper,2019-04-18,2019-04-19
3759,7.74113813114089e-05,Jaffna Proper,2019-04-19,2019-04-20
3760,0.0001863054640125,Jaffna Proper,2019-04-20,2019-04-21
3761,,Jaffna Proper,2019-04-21,2019-04-22
3762,0.0001652940389907,Jaffna Proper,2019-04-22,2019-04-23
3763,0.0001124862276603,Jaffna Proper,2019-04-23,2019-04-24
3764,8.913878220229596e-05,Jaffna Proper,2019-04-24,2019-04-25
3765,0.0002143694129051,Jaffna Proper,2019-04-25,2019-04-26
3766,0.0002859985897716,Jaffna Proper,2019-04-26,2019-04-27
3767,0.0002085683732311,Jaffna Proper,2019-04-27,2019-04-28
3768,,Jaffna Proper,2019-04-28,2019-04-29
3769,,Jaffna Proper,2019-04-29,2019-04-30
3770,,Jaffna Proper,2019-04-30,2019-05-01
3771,0.0001988965426281,Jaffna Proper,2019-05-01,2019-05-02
3772,0.0002454874023507,Jaffna Proper,2019-05-02,2019-05-03
3773,0.0001160287678308,Jaffna Proper,2019-05-03,2019-05-04
3774,0.0002114881995743,Jaffna Proper,2019-05-04,2019-05-05
3775,0.00016900388397,Jaffna Proper,2019-05-05,2019-05-06
3776,1.702930427527027e-05,Jaffna Proper,2019-05-06,2019-05-07
3777,7.570836612015874e-05,Jaffna Proper,2019-05-07,2019-05-08
3778,0.0001174841341889,Jaffna Proper,2019-05-08,2019-05-09
3779,0.000157735329769,Jaffna Proper,2019-05-09,2019-05-10
3780,0.0001060651973052,Jaffna Proper,2019-05-10,2019-05-11
3781,0.00014665342489,Jaffna Proper,2019-05-11,2019-05-12
3782,7.439157444817701e-05,Jaffna Proper,2019-05-12,2019-05-13
3783,0.0001995106278082,Jaffna Proper,2019-05-13,2019-05-14
3784,0.000164325904366,Jaffna Proper,2019-05-14,2019-05-15
3785,0.0001545511305832,Jaffna Proper,2019-05-15,2019-05-16
3786,0.0001435340795952,Jaffna Proper,2019-05-16,2019-05-17
3787,0.0001514099438506,Jaffna Proper,2019-05-17,2019-05-18
3788,0.0001098419014792,Jaffna Proper,2019-05-18,2019-05-19
3789,5.791861019252046e-05,Jaffna Proper,2019-05-19,2019-05-20
3790,0.0001248362370031,Jaffna Proper,2019-05-20,2019-05-21
3791,0.0001156197332824,Jaffna Proper,2019-05-21,2019-05-22
3792,9.863870001507711e-05,Jaffna Proper,2019-05-22,2019-05-23
3793,0.0001237593624613,Jaffna Proper,2019-05-23,2019-05-24
3794,3.835235777056108e-05,Jaffna Proper,2019-05-24,2019-05-25
3795,0.0001358998694667,Jaffna Proper,2019-05-25,2019-05-26
3796,9.303622604040064e-05,Jaffna Proper,2019-05-26,2019-05-27
3797,0.000159618317985,Jaffna Proper,2019-05-27,2019-05-28
3798,0.000131798935005,Jaffna Proper,2019-05-28,2019-05-29
3799,9.061302230824714e-05,Jaffna Proper,2019-05-29,2019-05-30
3800,0.0001368521347996,Jaffna Proper,2019-05-30,2019-05-31
3801,0.0001259742388404,Jaffna Proper,2019-05-31,2019-06-01
3802,0.0001966603343031,Jaffna Proper,2019-06-01,2019-06-02
3803,0.0001640300757226,Jaffna Proper,2019-06-02,2019-06-03
3804,0.0001551109977013,Jaffna Proper,2019-06-03,2019-06-04
3805,0.0001165760031745,Jaffna Proper,2019-06-04,2019-06-05
3806,0.0001112241824372,Jaffna Proper,2019-06-05,2019-06-06
3807,0.0001022550155451,Jaffna Proper,2019-06-06,2019-06-07
3808,0.0001159938423342,Jaffna Proper,2019-06-07,2019-06-08
3809,0.0001392798995803,Jaffna Proper,2019-06-08,2019-06-09
3810,5.761768451360933e-05,Jaffna Proper,2019-06-09,2019-06-10
3811,,Jaffna Proper,2019-06-10,2019-06-11
3812,4.8544600631062886e-05,Jaffna Proper,2019-06-11,2019-06-12
3813,0.0001078424725465,Jaffna Proper,2019-06-12,2019-06-13
3814,7.374061697700919e-05,Jaffna Proper,2019-06-13,2019-06-14
3815,4.7502897204355495e-05,Jaffna Proper,2019-06-14,2019-06-15
3816,0.0001292975146815,Jaffna Proper,2019-06-15,2019-06-16
3817,0.0002202266714712,Jaffna Proper,2019-06-16,2019-06-17
3818,0.0003049321658049,Jaffna Proper,2019-06-17,2019-06-18
3819,0.0002036400237456,Jaffna Proper,2019-06-18,2019-06-19
3820,0.0001123946023348,Jaffna Proper,2019-06-19,2019-06-20
3821,0.0001876187088844,Jaffna Proper,2019-06-20,2019-06-21
3822,0.0001733515751913,Jaffna Proper,2019-06-21,2019-06-22
3823,1.5476107811512605e-05,Jaffna Proper,2019-06-22,2019-06-23
3824,9.300714901550795e-05,Jaffna Proper,2019-06-23,2019-06-24
3825,5.381581219911672e-05,Jaffna Proper,2019-06-24,2019-06-25
3826,0.0001516456644825,Jaffna Proper,2019-06-25,2019-06-26
3827,0.0001209721318545,Jaffna Proper,2019-06-26,2019-06-27
3828,0.0001720899596635,Jaffna Proper,2019-06-27,2019-06-28
3829,3.689719525098189e-05,Jaffna Proper,2019-06-28,2019-06-29
3830,7.656794356458074e-05,Jaffna Proper,2019-06-29,2019-06-30
3831,0.0001368424132708,Jaffna Proper,2019-06-30,2019-07-01
