,HCHO Value,Location,Date,Next Date
1914,0.0002005128354287,Kurunegala Proper,2019-03-31,2019-04-01
1915,0.0001913736846052,Kurunegala Proper,2019-04-01,2019-04-02
1916,0.0002292592673599,Kurunegala Proper,2019-04-02,2019-04-03
1917,0.0001856483874482,Kurunegala Proper,2019-04-03,2019-04-04
1918,0.0001997694690952,Kurunegala Proper,2019-04-04,2019-04-05
1919,0.0001986475720932,Kurunegala Proper,2019-04-05,2019-04-06
1920,0.0002038335707743,Kurunegala Proper,2019-04-06,2019-04-07
1921,0.0002632298358881,Kurunegala Proper,2019-04-07,2019-04-08
1922,0.0002901479325215,Kurunegala Proper,2019-04-08,2019-04-09
1923,0.0001645179947213,Kurunegala Proper,2019-04-09,2019-04-10
1924,0.0001457744638877,Kurunegala Proper,2019-04-10,2019-04-11
1925,,Kurunegala Proper,2019-04-11,2019-04-12
1926,0.00023470977033,Kurunegala Proper,2019-04-12,2019-04-13
1927,0.0002282964378382,Kurunegala Proper,2019-04-13,2019-04-14
1928,,Kurunegala Proper,2019-04-14,2019-04-15
1929,,Kurunegala Proper,2019-04-15,2019-04-16
1930,,Kurunegala Proper,2019-04-16,2019-04-17
1931,,Kurunegala Proper,2019-04-17,2019-04-18
1932,0.0002162962247226,Kurunegala Proper,2019-04-18,2019-04-19
1933,0.0002595917978659,Kurunegala Proper,2019-04-19,2019-04-20
1934,,Kurunegala Proper,2019-04-20,2019-04-21
1935,0.0001301541911352,Kurunegala Proper,2019-04-21,2019-04-22
1936,0.0001844679986247,Kurunegala Proper,2019-04-22,2019-04-23
1937,0.0002139409536759,Kurunegala Proper,2019-04-23,2019-04-24
1938,0.0001655682962151,Kurunegala Proper,2019-04-24,2019-04-25
1939,0.0004791311803273,Kurunegala Proper,2019-04-25,2019-04-26
1940,0.0001514479517936,Kurunegala Proper,2019-04-26,2019-04-27
1941,,Kurunegala Proper,2019-04-27,2019-04-28
1942,0.0001933094048709,Kurunegala Proper,2019-04-28,2019-04-29
1943,,Kurunegala Proper,2019-04-29,2019-04-30
1944,,Kurunegala Proper,2019-04-30,2019-05-01
1945,0.0001575081949626,Kurunegala Proper,2019-05-01,2019-05-02
1946,0.0001803331106202,Kurunegala Proper,2019-05-02,2019-05-03
1947,,Kurunegala Proper,2019-05-03,2019-05-04
1948,0.0002185603449485,Kurunegala Proper,2019-05-04,2019-05-05
1949,8.02505700569093e-05,Kurunegala Proper,2019-05-05,2019-05-06
1950,0.0001420565734228,Kurunegala Proper,2019-05-06,2019-05-07
1951,0.0001650123219606,Kurunegala Proper,2019-05-07,2019-05-08
1952,0.0001460277152315,Kurunegala Proper,2019-05-08,2019-05-09
1953,0.0001493288295852,Kurunegala Proper,2019-05-09,2019-05-10
1954,0.0002057718166517,Kurunegala Proper,2019-05-10,2019-05-11
1955,0.0001641032775009,Kurunegala Proper,2019-05-11,2019-05-12
1956,0.0001183245679523,Kurunegala Proper,2019-05-12,2019-05-13
1957,0.000132961175467,Kurunegala Proper,2019-05-13,2019-05-14
