,HCHO Value,Location,Date,Next Date
99,,Kandy Proper,2019-04-11,2019-04-12
100,0.0002119455363545,Kandy Proper,2019-04-12,2019-04-13
101,8.435604480337817e-05,Kandy Proper,2019-04-13,2019-04-14
102,,Kandy Proper,2019-04-14,2019-04-15
103,,Kandy Proper,2019-04-15,2019-04-16
104,,Kandy Proper,2019-04-16,2019-04-17
105,,Kandy Proper,2019-04-17,2019-04-18
106,0.0001367393922806,Kandy Proper,2019-04-18,2019-04-19
107,0.0001502073732536,Kandy Proper,2019-04-19,2019-04-20
108,-0.0002142092153893,Kandy Proper,2019-04-20,2019-04-21
109,0.0001330528287211,Kandy Proper,2019-04-21,2019-04-22
110,0.0002652660056679,Kandy Proper,2019-04-22,2019-04-23
111,0.0001897010952234,Kandy Proper,2019-04-23,2019-04-24
112,0.000115200123351,Kandy Proper,2019-04-24,2019-04-25
113,,Kandy Proper,2019-04-25,2019-04-26
114,,Kandy Proper,2019-04-26,2019-04-27
115,,Kandy Proper,2019-04-27,2019-04-28
116,0.0001738814462858,Kandy Proper,2019-04-28,2019-04-29
117,,Kandy Proper,2019-04-29,2019-04-30
118,,Kandy Proper,2019-04-30,2019-05-01
119,,Kandy Proper,2019-05-01,2019-05-02
120,,Kandy Proper,2019-05-02,2019-05-03
121,,Kandy Proper,2019-05-03,2019-05-04
122,0.0002141238897929,Kandy Proper,2019-05-04,2019-05-05
123,7.564946081848705e-05,Kandy Proper,2019-05-05,2019-05-06
124,0.0001629478259072,Kandy Proper,2019-05-06,2019-05-07
125,0.0001492011730946,Kandy Proper,2019-05-07,2019-05-08
126,0.0001659245919994,Kandy Proper,2019-05-08,2019-05-09
127,0.0001472336010995,Kandy Proper,2019-05-09,2019-05-10
128,0.0002406209292845,Kandy Proper,2019-05-10,2019-05-11
129,0.0001774082428821,Kandy Proper,2019-05-11,2019-05-12
130,7.851454164433835e-05,Kandy Proper,2019-05-12,2019-05-13
131,8.480921821304122e-05,Kandy Proper,2019-05-13,2019-05-14
132,0.0002565932360046,Kandy Proper,2019-05-14,2019-05-15
133,0.0001084387637971,Kandy Proper,2019-05-15,2019-05-16
134,0.0002581514024065,Kandy Proper,2019-05-16,2019-05-17
135,0.0001626728519143,Kandy Proper,2019-05-17,2019-05-18
136,0.0001316183951811,Kandy Proper,2019-05-18,2019-05-19
137,0.0001846422713296,Kandy Proper,2019-05-19,2019-05-20
138,0.0001931410056934,Kandy Proper,2019-05-20,2019-05-21
139,0.0001087283892095,Kandy Proper,2019-05-21,2019-05-22
140,,Kandy Proper,2019-05-22,2019-05-23
141,0.0003283253734832,Kandy Proper,2019-05-23,2019-05-24
142,0.000101328985777,Kandy Proper,2019-05-24,2019-05-25
143,-1.1236420671396437e-05,Kandy Proper,2019-05-25,2019-05-26
144,0.0001002702697374,Kandy Proper,2019-05-26,2019-05-27
145,0.0001920604607636,Kandy Proper,2019-05-27,2019-05-28
146,0.0001766797704591,Kandy Proper,2019-05-28,2019-05-29
147,0.0002707986967031,Kandy Proper,2019-05-29,2019-05-30
148,0.0002678791857473,Kandy Proper,2019-05-30,2019-05-31
149,0.0001484190889814,Kandy Proper,2019-05-31,2019-06-01
150,2.7427695851211677e-05,Kandy Proper,2019-06-01,2019-06-02
151,0.00013723955328,Kandy Proper,2019-06-02,2019-06-03
152,,Kandy Proper,2019-06-03,2019-06-04
153,0.0001102947689259,Kandy Proper,2019-06-04,2019-06-05
154,,Kandy Proper,2019-06-05,2019-06-06
155,,Kandy Proper,2019-06-06,2019-06-07
156,,Kandy Proper,2019-06-07,2019-06-08
157,,Kandy Proper,2019-06-08,2019-06-09
158,0.0001298232751426,Kandy Proper,2019-06-09,2019-06-10
159,,Kandy Proper,2019-06-10,2019-06-11
160,9.29756764723738e-05,Kandy Proper,2019-06-11,2019-06-12
161,,Kandy Proper,2019-06-12,2019-06-13
162,0.0001227748434757,Kandy Proper,2019-06-13,2019-06-14
163,,Kandy Proper,2019-06-14,2019-06-15
164,0.0001109789303632,Kandy Proper,2019-06-15,2019-06-16
165,8.978404673863681e-05,Kandy Proper,2019-06-16,2019-06-17
166,1.569671117488859e-07,Kandy Proper,2019-06-17,2019-06-18
167,7.384788689971693e-05,Kandy Proper,2019-06-18,2019-06-19
168,0.0001137372567619,Kandy Proper,2019-06-19,2019-06-20
169,,Kandy Proper,2019-06-20,2019-06-21
170,,Kandy Proper,2019-06-21,2019-06-22
171,-7.303543319663562e-05,Kandy Proper,2019-06-22,2019-06-23
172,-3.8813264605263855e-06,Kandy Proper,2019-06-23,2019-06-24
173,,Kandy Proper,2019-06-24,2019-06-25
174,,Kandy Proper,2019-06-25,2019-06-26
175,2.5244143864092782e-05,Kandy Proper,2019-06-26,2019-06-27
176,7.838953585567481e-05,Kandy Proper,2019-06-27,2019-06-28
177,6.984348224061407e-05,Kandy Proper,2019-06-28,2019-06-29
178,8.639300023654194e-05,Kandy Proper,2019-06-29,2019-06-30
179,5.7654145708751706e-05,Kandy Proper,2019-06-30,2019-07-01
180,4.850917005854961e-05,Kandy Proper,2019-07-01,2019-07-02
181,7.01563219877274e-05,Kandy Proper,2019-07-02,2019-07-03
182,7.363816657454578e-05,Kandy Proper,2019-07-03,2019-07-04
183,6.852184014062264e-05,Kandy Proper,2019-07-04,2019-07-05
184,0.0001269866740033,Kandy Proper,2019-07-05,2019-07-06
185,8.118862348047131e-05,Kandy Proper,2019-07-06,2019-07-07
186,0.0001078062501781,Kandy Proper,2019-07-07,2019-07-08
187,0.0001755990354735,Kandy Proper,2019-07-08,2019-07-09
188,,Kandy Proper,2019-07-09,2019-07-10
189,0.0001629814492932,Kandy Proper,2019-07-10,2019-07-11
190,5.640249935191584e-05,Kandy Proper,2019-07-11,2019-07-12
191,0.00017017375007,Kandy Proper,2019-07-12,2019-07-13
192,0.0001224169308543,Kandy Proper,2019-07-13,2019-07-14
193,8.956526624236958e-05,Kandy Proper,2019-07-14,2019-07-15
194,,Kandy Proper,2019-07-15,2019-07-16
195,4.525880073866283e-05,Kandy Proper,2019-07-16,2019-07-17
196,,Kandy Proper,2019-07-17,2019-07-18
197,,Kandy Proper,2019-07-18,2019-07-19
198,,Kandy Proper,2019-07-19,2019-07-20
199,,Kandy Proper,2019-07-20,2019-07-21
200,,Kandy Proper,2019-07-21,2019-07-22
201,,Kandy Proper,2019-07-22,2019-07-23
202,4.788897537718524e-05,Kandy Proper,2019-07-23,2019-07-24
203,2.916065279478861e-06,Kandy Proper,2019-07-24,2019-07-25
204,,Kandy Proper,2019-07-25,2019-07-26
205,,Kandy Proper,2019-07-26,2019-07-27
206,0.0001362995272287,Kandy Proper,2019-07-27,2019-07-28
207,0.0001410117514989,Kandy Proper,2019-07-28,2019-07-29
208,0.0001108681239436,Kandy Proper,2019-07-29,2019-07-30
209,0.0001269736313424,Kandy Proper,2019-07-30,2019-07-31
